age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
50,M,244,Seule,3,false,2678 IZ 45
18,M,178,En Couple,3,false,5543 LH 92
27,M,198,Célibataire,0,false,5836 XM 87
55,F,187,En Couple,3,false,7431 VH 97
39,F,1157,Célibataire,0,false,2456 WM 58
29,Féminin,590,Célibataire,0,false,1108 NP 16
55,M,1275,En Couple,0,true,4456 RQ 65
75,F,549,En Couple,2,false,7287 OO 63
29,F,424,En Couple,4,false,3967 IG 90
82,M,1095,Célibataire,0,false,2218 IJ 60
30,M,995,En Couple,2,false,1616 UY 64
54,M,1321,Célibataire,0,false,7242 EY 30
40,M,544,Marié(e),2,false,9793 VV 61
61,M,787,En Couple,1,false,37 FW 25
26,M,1376,Célibataire,0,false,6250 EI 53
28,M,551,Célibataire,0,false,1260 AS 29
84,M,511,En Couple,2,false,9491 JI 96
30,M,590,En Couple,1,false,5265 GU 84
19,M,420,Seule,3,false,1401 WD 65
78,M,239,En Couple,2,true,3018 SP 64
52,M,1352,En Couple,3,true,2088 PX 17
42,M,468,En Couple,4,false,236 EU 67
29,M,501,En Couple,0,true,1714 CY 41
58,M,550,Célibataire,0,false,5920 XH 59
49,F,1026,Célibataire,0,false,1942 XH 30
31,M,550,Célibataire,0,false,5616 CG 30
19,M,570,En Couple,1,false,3289 JE 57
33,M,565,En Couple,1,true,9338 DZ 27
69,M,554,Seule,3,false,7904 ON 79
27,M,176,En Couple,3,false,9596 FW 53
48,F,1022,Célibataire,0,false,4019 OZ 39
22,M,538,En Couple,1,false,1446 RW 27
69,F,416,En Couple,2,true,5420 UC 96
23,M,573,En Couple,2,true,6699 EA 94
72,M,583,En Couple,0,false,8405 NN 49
73,M,576,En Couple,1,true,2319 ZQ 21
18,M,493,En Couple,2,true,493 TL 66
51,M,554,En Couple,1,false,393 ZD 62
67,M,1297,Célibataire,0,false,6099 WG 98
35,M,453,En Couple,0,false,7618 DX 77
56,F,800,Célibataire,0,false,2377 SG 65
19,M,413,En Couple,4,false,4820 YH 88
53,F,219,En Couple,3,false,8929 TV 87
72,M,493,Célibataire,0,false,236 GA 95
65,F,838,En Couple,4,false,6819 WI 82
23,M,465,En Couple,2,false,7976 NM 71
69,M,407,En Couple,4,false,1125 KN 58
26,M,1281,En Couple,3,false,2985 NS 95
47,F,433,Célibataire,0,false,1937 DO 13
55,M,538,En Couple,1,false,4322 NE 33
19,M,414,En Couple,1,false,6610 AD 14
52,M,453,En Couple,3,false,6822 CW 22
71,F,204,Célibataire,0,false,3334 LD 18
80,F,1136,En Couple,1,false,7581 MH 21
84,M,182,En Couple,3,false,2621 JD 92
66,F,959,Célibataire,0,false,5983 FV 10
55,M,515,En Couple,1,false,7640 OO 29
29,F,177,Célibataire,0,false,1511 EZ 38
35,M,467,Seule,1,false,8986 FF 88
29,F,505,En Couple,1,true,7296 SU 63
79,M,518,Célibataire,0,false,9386 JI 53
26,M,585,Célibataire,0,false,5691 JH 63
65,M,1163,En Couple,2,true,5903 KN 44
44,M,1119,En Couple,0,false,6743 ML 20
24,Masculin,481,Célibataire,0,false,4802 KO 61
25,M,238,En Couple,1,false,4311 PU 97
29,M,576,En Couple,1,true,558 MG 30
45,F,411,En Couple,2,true,8831 AY 61
39,M,555,En Couple,3,true,2099 JE 40
18,M,458,En Couple,2,false,8583 UT 42
63,M,162,En Couple,2,false,4430 ZS 40
80,M,510,En Couple,1,false,9910 LV 40
57,M,549,Célibataire,0,false,1891 WE 53
70,Homme,213,Célibataire,0,false,695 GR 48
29,M,552,En Couple,3,false,8019 NF 77
46,M,557,En Couple,0,false,5639 EE 57
69,M,578,Célibataire,0,false,1589 WE 57
32,M,478,En Couple,1,false,9060 XX 55
82,M,166,En Couple,1,false,3024 LF 15
36,M,557,En Couple,4,false,5567 KY 36
27,F,193,En Couple,4,false,5983 SI 80
42,M,1294,Célibataire,0,false,8234 YL 24
55,M,872,Célibataire,0,false,8667 ZB 48
82,M,458,Célibataire,0,false,5787 JE 51
37,F,1276,En Couple,4,false,228 KF 78
50,M,402,En Couple,2,false,6855 WH 23
61,M,1181,En Couple,1,false,8696 MY 23
55,F,459,Marié(e),4,false,1047 LW 39
61,M,574,En Couple,4,false,2234 UZ 19
23,M,538,En Couple,2,false,8917 JF 49
77,F,423,Célibataire,0,false,4652 VL 90
47,M,448,En Couple,4,false,2511 UZ 48
23,M,181,Célibataire,0,false,2372 FV 91
30,F,189,En Couple,2,false,2499 LP 46
46,F,811,En Couple,2,false,2938 XV 11
43,M,562,En Couple,0,false,5441 WW 32
29,M,1357,Célibataire,0,false,5672 MG 25
21,M,573,En Couple,2,false,7660 BI 24
32,M,586,En Couple,2,true,1336 AD 92
28,M,725,En Couple,4,false,1032 VS 44
37,F,1026,En Couple,1,true,9081 OB 70
68,M,890,En Couple,1,true,397 WR 68
25,M,1242,En Couple,3,false,6090 FZ 69
83,F,177,Célibataire,0,false,8642 KD 23
27,M,175,En Couple,2,false,7005 LV 18
66,M,714,Célibataire,0,false,5266 TY 95
28,M,857,En Couple,4,false,1493 AX 43
60,M,581,Célibataire,0,false,1626 AE 56
18,M,425,En Couple,0,true,1415 QY 86
43,M,428,Célibataire,0,false,2664 PC 69
26,M,198,En Couple,1,false,7756 IT 19
55,F,568,En Couple,4,false,2141 OT 81
34,F,192,Célibataire,0,false,7917 MN 54
81,M,1002,En Couple,2,false,5084 KH 92
58,M,427,En Couple,3,false,9973 FO 96
20,M,480,Célibataire,0,false,7256 UP 23
56,M,489,En Couple,0,false,483 OE 67
37,M,864,Célibataire,0,false,4873 JW 88
30,M,412,En Couple,3,false,3892 VO 23
48,M,219,En Couple,0,true,1655 QK 94
31,M,917,Célibataire,0,false,7804 QS 15
41,M,541,En Couple,0,false,461 WP 17
25,M,516,Célibataire,0,false,6910 YB 32
44,M,1106,En Couple,2,false,9351 PH 62
51,M,806,En Couple,3,true,2543 UI 37
47,M,442,Célibataire,0,false,6211 IA 85
47,M,155,En Couple,3,false,9815 GS 87
35,M,862,Célibataire,0,false,1507 YH 39
59,M,196,En Couple,2,false,6223 OX 23
79,M,409,Seule,2,false,7657 PF 33
82,M,1084,En Couple,1,false,9635 NX 71
81,M,506,Célibataire,0,false,4490 HQ 89
63,F,411,Célibataire,0,false,4512 WT 18
55,F,233,Célibataire,0,false,6955 AG 86
34,F,593,Célibataire,0,false,3655 BY 82
83,M,567,En Couple,1,false,4486 DL 66
23,F,908,En Couple,1,true,9608 KF 93
26,M,495,En Couple,2,false,8742 LV 17
40,M,989,Célibataire,0,false,5831 JJ 47
44,F,557,En Couple,0,false,53 ZU 73
73,M,470,Célibataire,0,false,9802 RH 39
57,M,411,Célibataire,0,false,4005 WY 98
24,M,840,En Couple,1,false,3849 YD 34
29,M,454,En Couple,3,false,1572 BJ 36
27,F,1277,En Couple,4,false,60 ID 98
58,F,238,En Couple,0,false,2645 RD 14
47,M,426,En Couple,3,false,7168 XH 59
68,M,458,En Couple,2,true,9966 GT 21
68,F,1345,En Couple,2,true,2930 CL 77
39,F,175,En Couple,1,true,9268 NH 51
82,M,190,Célibataire,0,false,3425 NZ 37
22,Masculin,404,En Couple,0,false,6320 QM 38
52,M,195,En Couple,0,false,4624 IA 91
47,M,196,Célibataire,0,false,4317 UU 64
37,M,458,En Couple,2,false,641 BX 20
28,M,551,En Couple,1,false,342 IJ 85
50,F,166,En Couple,0,false,9866 FW 29
57,M,424,Célibataire,0,false,1516 PR 86
32,M,594,Seul,0,false,5619 UX 63
27,F,1017,Célibataire,0,false,2766 SV 26
23,M,803,Célibataire,0,false,9590 BQ 13
24,F,572,En Couple,4,true,6623 EI 88
39,M,569,En Couple,4,false,6621 AM 19
25,F,423,Seule,1,false,9700 XH 31
69,F,785,En Couple,1,false,680 EE 66
53,F,492,Célibataire,0,false,8258 CY 36
21,F,210,En Couple,1,false,6292 EE 39
48,F,405,En Couple,3,false,3267 ZD 28
31,M,501,En Couple,0,false,579 UD 11
35,M,588,En Couple,3,false,2242 PT 58
21,F,540,En Couple,2,false,1098 MW 82
25,M,452,Célibataire,0,false,8122 OZ 25
44,F,908,Célibataire,0,false,6286 YU 93
56,F,425,En Couple,4,false,8506 CG 18
46,M,407,En Couple,3,false,8614 GH 41
19,M,213,Célibataire,0,false,9171 ZU 19
48,F,787,En Couple,2,true,8588 EQ 33
51,M,403,En Couple,2,false,9111 OG 46
23,M,439,En Couple,1,false,3675 CL 67
45,M,237,En Couple,0,false,7468 LF 40
20,M,401,En Couple,3,false,4657 KP 39
35,M,189,Célibataire,0,false,8263 YG 91
41,M,157,En Couple,1,false,1726 QY 27
80,F,429,Célibataire,0,false,8593 OA 74
70,M,1190,En Couple,0,true,2755 LA 43
69,M,196,En Couple,0,false,1285 QR 14
63,M,1270,En Couple,0,false,5172 ZN 45
24,M,562,En Couple,1,false,2303 PY 64
68,F,953,En Couple,2,false,9254 QZ 24
26,M,224,En Couple,1,false,6782 BG 77
41,F,481,En Couple,1,false,4497 AE 98
27,M,1182,Célibataire,0,false,5138 IU 61
29,F,1381,En Couple,2,true,1806 BQ 86
75,M,982,En Couple,4,false,5358 PK 84
64,M,973,En Couple,2,true,2873 LB 56
49,M,173,En Couple,1,false,8214 VO 25
49,F,433,En Couple,0,false,1631 LL 20
55,M,1048,En Couple,3,false,2962 BG 54
20,M,1396,En Couple,1,false,8657 UI 21
53,M,477,En Couple,0,false,8441 TG 98
54,F,200,En Couple,3,false,447 FL 76
49,M,222,En Couple,0,false,278 FG 78
39,F,220,En Couple,1,false,782 WM 44
59,M,1282,En Couple,1,false,4502 YV 53
39,M,1051,Seule,1,false,6146 OE 22
53,M,428,Célibataire,0,false,1575 AD 69
57,M,194,En Couple,4,false,4339 KE 98
43,M,733,En Couple,1,false,9179 DD 39
53,F,433,En Couple,1,false,4316 QN 44
72,M,492,En Couple,4,true,978 IL 42
81,M,481,En Couple,2,true,2119 ZF 95
44,M,579,En Couple,0,false,4259 FI 91
50,M,245,En Couple,3,false,9778 HS 68
43,M,492,Célibataire,0,false,3155 TV 77
49,M,569,En Couple,3,false,1340 IF 48
30,F,597,En Couple,4,false,7659 OD 38
79,M,548,Célibataire,0,false,1767 DF 65
22,M,535,En Couple,1,false,918 FJ 83
28,Masculin,877,Célibataire,0,false,344 XI 82
24,M,165,En Couple,3,false,9760 FL 73
54,F,491,En Couple,0,false,6754 US 34
54,F,598,En Couple,2,false,5719 EQ 66
80,F,1215,En Couple,4,false,894 NX 45
71,M,505,Célibataire,0,false,7006 BY 24
20,M,246,Célibataire,0,false,3398 CW 11
21,F,457,En Couple,4,false,4677 TI 63
25,M,160,En Couple,2,true,7141 QC 98
26,M,1088,En Couple,2,false,8769 DE 82
40,M,164,Célibataire,?,false,6536 GB 50
22,M,209,Seule,1,false,1802 FZ 50
38,M,1367,En Couple,2,false,7903 OT 90
76,F,592,En Couple,1,false,3575 AP 63
45,F,855,Célibataire,0,false,4636 VE 87
31,M,870,Célibataire,0,false,531 AM 85
38,F,462,En Couple,0,false,2450 ZU 76
20,M,510,Célibataire,0,false,4523 WW 82
33,M,222,En Couple,3,false,9302 GY 22
41,M,454,Seule,1,false,142 WG 78
45,M,499,Célibataire,0,false,8945 DK 38
69,M,750,En Couple,2,false,7243 JE 22
46,M,243,Seule,3,false,9708 VW 49
56,F,444,En Couple,0,true,4709 KU 23
65,M,1185,En Couple,4,false,4163 QI 20
25,M,593,Seule,2,false,5554 FH 98
55,M,183,En Couple,2,false,2914 CT 51
38,F,426,En Couple,3,false,6327 RP 49
68,M,464,En Couple,4,true,8986 QO 22
81,F,800,En Couple,2,false,7293 NZ 43
46,M,246,Célibataire,0,false,7868 BT 76
62,M,559,En Couple,2,true,3055 EH 62
38,F,468,Célibataire,0,false,3644 EN 39
27,M,464,Seule,2,false,3785 SN 27
47,M,437,En Couple,2,true,207 TP 26
30,M,496,Célibataire,0,false,5274 EZ 29
44,M,568,Célibataire,0,false,1165 TP 18
18,M,511,Célibataire,0,false,5346 LQ 15
46,M,1102,Marié(e),2,false,3695 NB 57
71,M,407,En Couple,1,false,7076 WD 85
24,M,1119,En Couple,2,false,9841 EG 23
28,M,1004,Célibataire,0,false,4357 IH 46
81,M,884,Célibataire,0,false,2225 ST 67
23,F,505,En Couple,2,false,6426 EC 87
36,M,220,Célibataire,0,false,2573 EU 80
21,M,500,Célibataire,0,false,4829 XZ 90
37,M,214,Célibataire,0,false,473 NL 19
68,F,585,En Couple,4,false,3625 SE 86
54,?,482,En Couple,1,false,8406 EP 27
24,Féminin,204,En Couple,2,false,7241 ZN 87
47,F,155,Seule,3,false,4619 DD 90
58,F,1013,En Couple,0,false,7020 JY 82
58,M,551,Célibataire,0,false,7584 JR 65
43,M,427,En Couple,2,false,1139 RX 81
45,M,163,En Couple,0,false,5885 SW 43
68,M,984,En Couple,4,false,5569 CY 32
27,F,704,En Couple,1,false,8463 XP 10
63,M,172,En Couple,1,true,9770 PF 32
59,M,988,En Couple,2,true,9859 SS 69
35,M,477,Célibataire,0,false,8196 LL 29
35,F,563,Célibataire,0,false,1753 LK 56
72,M,245,Célibataire,0,false,7400 SP 61
28,F,753,En Couple,2,false,6321 VM 86
23,F,461,En Couple,2,false,433 MY 51
30,M,435,En Couple,2,false,6273 DD 83
56,M,162,En Couple,3,true,3659 ZV 36
44,F,848,En Couple,2,true,6252 QX 47
46,M,1164,En Couple,2,true,9989 MW 88
34,F,578,En Couple,4,false,571 KQ 50
21,M,528,Seule,3,false,1855 UZ 88
51,M,1107,En Couple,4,false,2424 JW 83
30,M,524,En Couple,1,false,7324 GA 10
27,M,513,En Couple,1,false,62 KV 43
59,F,401,En Couple,1,false,1057 SS 41
63,F,786,En Couple,2,true,202 QU 42
48,M,592,En Couple,3,false,2819 HP 31
41,F,527,Seule,1,false,9612 VY 93
60,M,1312,En Couple,4,true,8973 RX 84
30,M,595,En Couple,1,false,7030 CH 78
72,F,563,En Couple,1,false,199 UO 40
57,F,425,En Couple,3,false,939 BG 87
54,F,527,En Couple,0,false,2511 AY 10
82,M,216,En Couple,4,false,1505 MM 94
48,F,179,En Couple,1,false,691 DE 18
38,F,837,Célibataire,0,false,4239 FQ 51
40,M,509,Seule,3,false,3253 SB 48
84,F,217,En Couple,3,false,3407 AL 89
25,F,431,En Couple,2,false,101 EX 90
79,M,479,En Couple,3,false,4028 NL 49
80,F,470,En Couple,1,false,9242 VD 45
49,M,200,En Couple,4,false,8229 XG 87
51,M,195,En Couple,2,false,2521 IA 18
34,M,891,En Couple,0,false,2344 ON 39
40,M,523,En Couple,3,false,1083 MJ 56
24,F,1095,En Couple,1,true,343 CR 13
41,M,1017,En Couple,2,false,4683 IH 16
23,F,479,En Couple,4,false,1094 PZ 68
83,F,494,En Couple,2,false,7461 CY 11
32,M,515,Seule,3,false,170 XQ 82
31,M,445,En Couple,0,false,3544 FB 65
52,M,408,En Couple,0,false,8539 FO 62
52,Masculin,505,Célibataire,0,false,5428 TC 47
37,M,440,En Couple,3,true,370 TU 70
51,M,1309,En Couple,2,false,1421 GI 96
46,Homme,1205,En Couple,1,false,7163 VC 24
48,M,1166,En Couple,2,false,8757 JB 54
47,F,1241,Célibataire,0,false,8244 UT 20
37,F,244,En Couple,4,true,8373 QD 19
47,M,1274,En Couple,3,false,556 IL 55
19,M,1387,Célibataire,0,false,8564 LW 20
42,M,1140,En Couple,0,false,7540 LG 95
71,F,1106,En Couple,0,true,6093 KG 87
57,M,1137,En Couple,2,false,1217 TZ 87
45,M,504,En Couple,1,true,8878 WI 91
54,F,1299,En Couple,1,false,4215 CG 62
46,M,548,En Couple,4,false,6835 TH 19
33,F,467,En Couple,4,false,5087 GZ 87
36,F,222,En Couple,2,false,3054 BN 77
59,M,463,En Couple,1,false,6449 UK 22
45,F,978,Célibataire,0,false,3202 JA 17
38,M,152,En Couple,4,false,2762 KJ 40
50,F,434,En Couple,1,true,9059 CA 30
23,M,514,Célibataire,0,false,7 PC 88
25,M,596,En Couple,0,false,2535 DB 86
26,F,174,En Couple,4,true,7848 AJ 96
79,M,420,En Couple,2,true,7127 RU 10
26,M,219,En Couple,3,false,6349 KL 92
26,F,176,En Couple,3,false,3534 XQ 35
23,F,222,Célibataire,0,false,2475 HW 91
53,M,233,Célibataire,0,false,6440 YT 19
49,M,945,En Couple,0,true,6536 TF 24
82,M,550,Célibataire,0,false,420 CZ 23
43,M,166,En Couple,4,false,7546 SQ 78
21,F,448,En Couple,3,false,178 CL 37
18,M,882,En Couple,0,false,9212 BH 23
49,M,516,En Couple,0,false,4485 OU 72
56,M,454,En Couple,1,false,5081 DZ 60
43,M,178,En Couple,0,true,2690 YT 44
41,M,1289,En Couple,4,false,5646 CO 24
52,M,154,En Couple,4,false,3423 HG 13
45,M,876,En Couple,2,true,7596 GR 56
52,M,157,Célibataire,0,false,5380 WB 61
67,M,206,Célibataire,0,false,2882 NT 70
20,M,171,Célibataire,0,false,9421 PX 56
58,M,928,En Couple,0,false,2647 SE 52
57,M,488,Célibataire,0,false,2533 SJ 51
20,M,1117,En Couple,2,false,3453 IQ 76
20,F,429,En Couple,2,false,6347 QQ 10
44,M,1372,Célibataire,0,false,5631 JM 25
57,F,206,En Couple,2,false,7824 PG 70
70,M,581,En Couple,0,true,4532 FQ 41
61,M,565,En Couple,2,false,4247 ND 61
40,M,1083,En Couple,2,false,7416 WO 19
21,F,200,Célibataire,0,false,484 DZ 64
41,M,455,Célibataire,0,false,8554 PX 38
72,M,457,En Couple,1,false,2477 NJ 90
44,M,213,En Couple,3,false,7816 AT 44
40,M,1043,Célibataire,0,false,6123 MK 16
52,M,522,En Couple,1,false,964 UP 69
76,M,417,Célibataire,0,false,3161 OS 36
52,F,452,En Couple,0,true,9650 IM 55
33,M,573,En Couple,2,false,2083 RZ 85
40,M,582,En Couple,0,true,2583 UB 63
18,M,193,Célibataire,0,false,7432 AK 19
73,F,413,En Couple,2,true,9195 PN 34
41,M,512,En Couple,1,true,9673 NU 90
45,M,239,En Couple,2,false,7591 WV 91
25,M,160,Célibataire,0,false,4183 AB 92
33,F,467,En Couple,4,false,7575 IX 58
59,M,248,En Couple,3,false,7800 OP 58
75,M,447,Célibataire,0,false,7529 NX 21
28,Homme,1020,Célibataire,0,false,2913 HB 96
84,F,1308,En Couple,3,true,7068 XF 30
25,M,936,En Couple,1,true,6541 RX 88
54,M,571,Célibataire,0,false,8593 VO 52
27,M,400,Célibataire,0,false,3044 LL 73
18,F,1196,En Couple,3,true,8829 ZY 72
24,F,520,Seule,3,false,6964 BW 29
49,M,736,En Couple,2,false,1620 LF 26
53,M,552,Célibataire,0,false,7820 TC 47
41,M,1188,Célibataire,0,false,9471 GU 51
51,M,486,En Couple,2,true,5131 LI 79
27,M,234,Seule,2,false,1287 ZY 74
50,F,402,Célibataire,0,false,4165 SV 52
29,M,577,En Couple,1,false,5895 MN 33
60,M,1153,Célibataire,0,false,3438 TX 15
43,M,802,En Couple,2,false,3853 DH 76
38,M,228,En Couple,1,false,5612 VW 93
19,M,193,Seule,2,false,9384 NJ 35
70,M,575,En Couple,0,false,8488 FE 75
40,F,221,En Couple,0,false,7211 SQ 12
25,M,440,En Couple,1,false,7149 YN 62
25,F,500,En Couple,4,true,1016 TN 15
68,M,712,Célibataire,0,false,6711 QT 18
34,M,744,Célibataire,0,false,1686 RB 10
58,M,1213,Célibataire,0,false,6213 UJ 65
19,M,595,En Couple,0,false,4044 XQ 41
22,M,822,Célibataire,0,false,8600 RG 71
40,M,703,Seule,2,false,6354 IT 74
59,F,1148,Célibataire,0,false,4145 FM 95
23,M,1230,En Couple,2,false,2534 BO 24
30,M,-1,En Couple,1,false,4870 IS 78
51,M,235,En Couple,0,false,5492 PP 48
25,M,527,En Couple,1,true,6988 YV 93
28,F,1391,Célibataire,0,false,9165 UI 38
44,M,215,En Couple,1,false,638 PT 85
62,M,1021,En Couple,3,false,5521 KS 21
42,M,430,En Couple,2,false,1652 HO 68
39,M,155,Seule,3,false,9748 ML 55
70,F,575,En Couple,0,true,2860 MO 87
21,M,756,Célibataire,0,false,6172 IS 60
